product_name,brand,country,claim_text,claim_type,x_category,touchpoint,relevancy,product_category,product_subcategory
Toner A,Brand A,USA,Visible glow immediately,statement,science/formulation/ingredient/packaging,Digital,0.87,Skincare,Toner
Toner A,Brand A,USA,Instant soothing,statement,sensory,Digital,0.86,Skincare,Toner
Toner A,Brand A,USA,Reduces pore appearance,statement,consumer perception,TVC,0.48,Skincare,Toner
Toner A,Brand A,USA,Tested on sensitive skin,statement,sensory,PACK,0.53,Skincare,Toner
Toner A,Brand A,USA,Glowing skin all day,statement,shares/sales/R&R/endorsement,PACK,0.95,Skincare,Toner
Toner A,Brand A,USA,Proven with clinical trial,statement,shares/sales/R&R/endorsement,PACK,0.53,Skincare,Toner
Toner A,Brand A,USA,Instant soothing,statement,local relevance/safety/sustainability,PACK,0.62,Skincare,Toner
Toner A,Brand A,USA,Recommended by dermatologists,statement,consumer perception,POS,0.48,Skincare,Toner
Toner A,Brand A,USA,Trusted by professionals,statement,emotion,Digital,0.39,Skincare,Toner
Toner A,Brand A,USA,98% natural ingredients,statement,consumer perception,Digital,0.39,Skincare,Toner
Toner A,Brand A,USA,Trusted by professionals,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.88,Skincare,Toner
Toner A,Brand A,USA,No parabens,comparative/superiority,local relevance/safety/sustainability,Digital,0.32,Skincare,Toner
Toner A,Brand A,USA,Proven with clinical trial,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.38,Skincare,Toner
Toner A,Brand A,USA,Visible glow immediately,comparative/superiority,clinical/instrumental,TVC,0.7,Skincare,Toner
Toner A,Brand A,USA,Oil-free formula,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.91,Skincare,Toner
Toner A,Brand A,USA,Visible glow immediately,imagery,shares/sales/R&R/endorsement,TVC,0.71,Skincare,Toner
Toner A,Brand A,USA,Instant soothing,imagery,science/formulation/ingredient/packaging,Digital,0.65,Skincare,Toner
Toner A,Brand A,USA,Non-comedogenic,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.64,Skincare,Toner
Toner A,Brand A,USA,Pro formula,imagery,emotion,Digital,0.97,Skincare,Toner
Toner A,Brand A,USA,Visible glow immediately,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.85,Skincare,Toner
Toner A,Brand A,USA,Reduces pore appearance,comparative/superiority,clinical/instrumental,POS,0.54,Skincare,Toner
Toner A,Brand A,USA,More hydration than leading brand,imagery,sensory,Digital,0.36,Skincare,Toner
Toner A,Brand A,USA,Pro formula,comparative/superiority,shares/sales/R&R/endorsement,TVC,0.47,Skincare,Toner
Toner A,Brand A,USA,Boosts skin barrier,imagery,local relevance/safety/sustainability,Digital,0.69,Skincare,Toner
Toner A,Brand A,USA,Reduces pore appearance,imagery,local relevance/safety/sustainability,POS,0.9,Skincare,Toner
Toner A,Brand A,USA,Fragrance-free and gentle,imagery,science/formulation/ingredient/packaging,TVC,0.8,Skincare,Toner
Toner A,Brand A,USA,Reduces fine lines,imagery,sensory,Digital,0.55,Skincare,Toner
Toner A,Brand A,USA,Recommended by dermatologists,imagery,local relevance/safety/sustainability,PACK,0.98,Skincare,Toner
Toner A,Brand A,USA,Non-comedogenic,imagery,science/formulation/ingredient/packaging,TVC,0.61,Skincare,Toner
Cream B,Brand D,USA,Improves skin elasticity,statement,clinical/instrumental,POS,0.45,Skincare,Cream
Cream B,Brand D,USA,More hydration than leading brand,statement,sensory,TVC,0.7,Skincare,Cream
Cream B,Brand D,USA,Fragrance-free and gentle,statement,science/formulation/ingredient/packaging,Digital,0.91,Skincare,Cream
Cream B,Brand D,USA,Improves skin elasticity,statement,local relevance/safety/sustainability,POS,0.52,Skincare,Cream
Cream B,Brand D,USA,Fragrance-free and gentle,statement,local relevance/safety/sustainability,POS,0.61,Skincare,Cream
Cream B,Brand D,USA,Innovative delivery system,statement,science/formulation/ingredient/packaging,TVC,0.35,Skincare,Cream
Cream B,Brand D,USA,Fragrance-free and gentle,statement,emotion,POS,0.73,Skincare,Cream
Cream B,Brand D,USA,Allergy tested,statement,science/formulation/ingredient/packaging,PACK,0.87,Skincare,Cream
Cream B,Brand D,USA,Deep hydration effect,statement,clinical/instrumental,Digital,0.56,Skincare,Cream
Cream B,Brand D,USA,Allergy tested,statement,local relevance/safety/sustainability,POS,0.87,Skincare,Cream
Cream B,Brand D,USA,More hydration than leading brand,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.6,Skincare,Cream
Cream B,Brand D,USA,Tested on sensitive skin,imagery,clinical/instrumental,POS,0.67,Skincare,Cream
Cream B,Brand D,USA,Clinically proven results,comparative/superiority,emotion,Digital,0.94,Skincare,Cream
Cream B,Brand D,USA,Oil-free formula,comparative/superiority,consumer perception,POS,0.83,Skincare,Cream
Cream B,Brand D,USA,Glowing skin all day,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.62,Skincare,Cream
Cream B,Brand D,USA,Instant soothing,imagery,local relevance/safety/sustainability,POS,0.42,Skincare,Cream
Cream B,Brand D,USA,Innovative delivery system,imagery,emotion,TVC,0.88,Skincare,Cream
Cream B,Brand D,USA,Tested on sensitive skin,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.74,Skincare,Cream
Cream B,Brand D,USA,No parabens,imagery,local relevance/safety/sustainability,Digital,0.95,Skincare,Cream
Cream B,Brand D,USA,Fast-absorbing texture,imagery,science/formulation/ingredient/packaging,PACK,0.81,Skincare,Cream
Cream B,Brand D,USA,Innovative delivery system,imagery,science/formulation/ingredient/packaging,PACK,0.68,Skincare,Cream
Cream B,Brand D,USA,Sustainable packaging,imagery,science/formulation/ingredient/packaging,POS,0.97,Skincare,Cream
Cream B,Brand D,USA,Sustainable packaging,imagery,emotion,Digital,0.82,Skincare,Cream
Cream B,Brand D,USA,More hydration than leading brand,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.75,Skincare,Cream
Cream B,Brand D,USA,Innovative delivery system,imagery,shares/sales/R&R/endorsement,POS,0.82,Skincare,Cream
Serum C,Brand B,USA,Innovative delivery system,statement,emotion,PACK,0.45,Skincare,Serum
Serum C,Brand B,USA,Non-comedogenic,statement,shares/sales/R&R/endorsement,POS,0.78,Skincare,Serum
Serum C,Brand B,USA,9 out of 10 women agree,statement,sensory,POS,0.96,Skincare,Serum
Serum C,Brand B,USA,Reduces fine lines,statement,science/formulation/ingredient/packaging,Digital,0.96,Skincare,Serum
